gene_ID	SRR11248243_Sporocysts	SRR922068_Sporocysts	SRR922067_Miracidia	SRR1142421_Cercariae	SRR1142423_Cercariae	SRR5860351_Cercariae	SRR8763170_Somula	SRR8763171_Somula	SRR8763176_Somula	SRR8763177_Somula	SRR8763178_Somula	SRR8763180_Somula	ERR572993_Males	ERR573090_Males	ERR582515_Males	SRR5170166_Males	SRR5170167_Males	SRR5170168_Males	ERR572988_Females	ERR573085_Females	ERR578187_Females	SRR5170160_Females	SRR5170161_Females	SRR5170162_Females
SmLNCA118652-IBu	193.7	18.78	7.5	0	0	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC118656-IBu	0.3	11.6	13.04	6.7	11.87	11.06	9.33	9.48	23.32	20.62	23.62	6.53	4.68	5.17	4.91	2.81	2.04	3.54	2.9	4.36	3.17	2.71	2.94	7.76
SmLINC118657-IBu	4.02	0.87	1.55	8.49	9.54	1.42	8.44	6.24	14.13	19.95	16.98	7.73	8.59	2.64	8.79	5.25	1.97	2.61	4.94	6.78	5.93	2.42	2.23	2.37
SmLINC118666-IBu	0.5	0	0	0.05	0	0	0.09	0.49	0.36	1.78	0.81	0.07	0.81	3.48	0.81	0	0	0	0.93	0.55	0.89	0	0	0
SmLNCA118684-IBu	98.94	12.29	2.15	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA118687-IBu	4.17	3.9	4.38	1.01	0.36	4.1	0	0	0	0	1.34	0.56	0	2.81	4.94	0	0	0	0	0	0	0	0	0
SmLNCA118688-IBu	0.67	0.15	0.16	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCS101701-IBu	1.15	0.2	0.28	0	0	0.2	0	0	0	2.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA118689-IBu	0.7	0.28	0.42	0	0	0.19	0	0.46	0	0	0	0	0	0	0	0.53	0	1.7	1.53	2.24	7.53	2.43	5.76	2.45
SmLINC118691-IBu	0.31	0.18	0	27.9	17.81	0.41	20.91	22.98	19.33	22.72	20.52	19.09	25.14	17.62	25.51	23.62	15.26	27.52	10.06	10.75	17.47	13.88	13.75	12.1
